"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
358	12.891	401.029	11.296	415.852	9.598	181.71	6.79	371.895	6.825	406.188	5.146	174.215	6.839	425.443	6.858	413.325	5.059	183.712
363	13.335	419.612	11.232	419.193	9.451	212.454	6.519	400.317	6.556	407.689	4.872	182.821	6.694	401.591	6.819	411.171	4.83800000000001	181.942
369	12.17	370.1	10.766	381.796	8.985	202.616	6.825	339.228	6.78	353.394	5.132	169.903	6.845	358.414	6.819	357.119	5.116	191.419
372	12.038	412.564	10.492	413.869	8.792	171.861	6.602	416.443	6.67899999999999	403.897	4.906	152.543	6.695	412.123	6.673	421.996000000001	4.848	172.139
361	12.952	450.303	10.847	447.009	9.152	201.561	6.36199999999999	428.931	6.399	434.474	4.739	180.531	6.36199999999999	431.296	6.357	438.096	4.694	164.919
375	13.48	433.214	12.01	440.932	9.91399999999999	170.561	7.457	428.181	7.531	436.359	5.465	144.86	7.453	424.776	7.48699999999999	434.423	5.36	148.719
350	12.633	417.131	10.856	425.385	8.812	224.292	6.893	430.027	7.078	465.776	5.134	222.25	7.11999999999999	442.695	6.92999999999999	456.486	4.925	273.745
336	14.082	433.754	12.313	486.934	10.612	306.117	7.603	512.574	7.425	571.054	5.42	367.853999999999	7.318	546.992	7.30499999999999	590.933999999999	5.27800000000001	322.672
396	13.243	379.331	12.173	376.71	10.413	163.603	6.787	351.769	6.914	351.119	5.241	137.417	6.918	353.195	6.93000000000001	353.776	5.277	138.261
381	12.48	355.167	10.784	373.16	9.057	197.974	7.046	363.206	7.03	394.055	5.07400000000001	169.804	7.01800000000001	380.609	7.068	372.763	5.07000000000001	186.455
405	13.082	358.42	11.765	348.067	9.677	162.04	7.453	331.527	7.497	328.401	5.46	136.08	7.40500000000001	342.702	7.38500000000001	345.868	5.34699999999999	144.062
400	12.893	387.726	11.009	385.57	9.302	169.174	6.418	360.029	6.444	358.756	4.707	143.35	6.426	359.106	6.42099999999999	359.164	4.727	146.416
357	12.855	417.563	11.391	424.363	9.59	252.26	6.804	393.508	6.847	388.463	5.163	206.659	6.83300000000001	404.259	6.85600000000001	389.294	5.083	205.866
380	11.982	396.689	10.569	408.095	8.646	201.469	6.54	383.031	6.62200000000001	394.092	4.714	179.656	6.64299999999999	391.841	6.649	398.29	4.679	185.96
328	11.975	505.09	10.543	439.868	8.594	315.761	6.64	485.463	6.724	483.411	4.723	399.867	6.755	512.059	6.70700000000001	498.858	4.69200000000001	358.91
388	12.186	395.258	10.848	391.697	8.96	180.05	6.822	367.558	6.943	368.746	4.97000000000001	152.776	6.878	364.376	7.11999999999999	368.031	5.17999999999999	152.206999999999
429	13.77	314.117	11.968	312.815	10.058	144.753	7.14	288.726	7.162	302.11	5.245	126.417	6.893	303.693	6.923	308.212	5.05799999999999	123.119
401	13.261	394.003	11.4	394.767	9.467	173.709	6.769	367.397	6.781	367.127	4.897	145.674	6.619	370.79	6.759	370.226	4.896	144.91
329	12.375	522.322	11.029	452.739	9.115	357.716	7.079	471.801	6.95	477.462	5.167	396.213	7.165	516.780000000001	7.15300000000001	489.847	4.949	258.019
332	12.382	551.887	10.938	511.492	9.321	322.954	6.936	445.639	6.847	491.366	5.312	342.357999999999	6.844	534.352	6.834	507.322	5.34999999999999	188.204
382	12.304	400.091	10.611	431.891	9.072	225.121	6.815	406.128	6.793	435.237	5.101	159.007	6.793	407.844	6.798	461.804	5.10199999999999	134.839
397	13.395	430.616	12.27	429.39	10.361	168.814	6.928	402.021	6.984	402.454	5.15799999999999	141.815	7.01500000000001	406.369	7.07199999999999	405.025	5.166	141.654
407	12.225	382.022	10.648	392.039	8.968	160.098	6.755	367.297	7.02999999999999	364.446	5.16999999999999	142.197	6.803	378.476	6.812	378.016	5.13900000000001	140.077
406	11.807	406.931	10.366	412.355	8.664	177.311	6.453	383.31	6.523	375.59	4.728	159.631	6.54499999999999	394.72	6.492	395.229	4.702	159.014
416	12.875	384.14	11.623	390.958	9.717	151.795	7.288	369.029	7.342	370.676	5.417	134.879	7.296	383.763	7.325	382.724	5.28800000000001	135.667
399	12.802	454.547	10.977	451.491	9.255	190.318	6.50700000000001	427.369	6.515	426.429	4.782	161.211	6.531	432.068	6.514	430.673	4.78800000000001	162.505
413	13.573	400.545	12.242	406.964	10.265	157.755	7.506	380.646	7.575	381.306	5.57400000000001	139.136	7.499	396.973	7.53999999999999	392.44	5.39800000000001	137.714
418	12.88	387.942	11.596	375.554	9.74	168.611	7.253	360.638	7.324	363.954	5.359	156.217	7.191	349.214	7.22	339.464	5.247	124.539
333	12.015	538.758	10.512	588.252	8.728	356.73	6.6	504.565	6.673	572.657	4.85299999999999	358.624000000001	6.69900000000001	549.147	6.67	585.453	4.82100000000001	280.277999999999
331	12.45	631.78	11.028	633.874	9.103	371.489	7.035	605.535	6.954	564.787	5.089	169.088	6.945	386.477	6.943	548.572	5.123	393.571
415	12.659	361.986	10.885	366.491	9.023	196.037	6.716	345.012	6.802	356.136	5.012	173.472	6.828	370.191	6.83499999999999	358.775000000001	4.96900000000001	169.128
353	14.143	532.51	12.394	417.843	10.352	222.097	7.47199999999999	544.878	7.617	391.865	5.501	245.431	7.33600000000001	474.313	7.381	411.983	5.438	355.691
412	13.538	424.706	12.171	429.368	10.227	160.376	7.473	401.146	7.54900000000001	410.788	5.55	141.15	7.464	422.039	7.498	417.961	5.39100000000001	138.325
398	13.246	482.206	12.182	488.979	10.349	196.805	6.867	453.836	6.94	453.221	5.212	165.936	6.947	459.82	7.00200000000001	457.021000000001	5.24299999999999	159.728999999999
419	11.861	400.284	10.425	397.399	8.532	165.683	6.434	368.095	6.524	374.05	4.711	141.062	6.547	371.416	6.52100000000001	367.756	4.64100000000001	128.088
417	13.028	432.875	11.723	421.336	9.72	173.09	7.409	404.363	7.456	395.787	5.405	149.643	7.409	400.849	7.40900000000001	398.152	5.30000000000001	159.543
430	13.853	371.417	12.111	369.729	10.044	163.723	7.181	342.001	7.204	347.236	5.161	132.493	6.90299999999999	351.189	6.92100000000001	335.147	4.928	121.839
404	12.857	481.434	11.642	485.169	9.746	166.94	7.308	456.758	7.348	459.376	5.439	147.293	7.248	472.48	7.215	472.303	5.33200000000001	140.8
386	12.8	368.471	11.146	382.989	9.26900000000001	191.84	6.712	383.201	6.731	419.775	4.914	190.552	6.74100000000001	393.405	6.748	727.631	4.90300000000001	347.58
437	12.89	376.675	11.406	380.315	9.55	154.735	6.831	343.853	7.07	324.722	5.261	118.703	6.869	314.368	7.042	314.594	5.202	110.453
431	14.68	402.314	13.126	387.719	10.968	157.88	7.538	365.19	7.695	343.817	5.63800000000001	139.968	7.26299999999999	337.005	7.367	333.483	5.378	119.644
414	13.611	446.184	12.214	446.885	10.219	191.808	7.515	425.515	7.578	449.122	5.547	164.681	7.52300000000001	443.7	7.556	436.338	5.35899999999999	177.315000000001
442	13.162	380.742	11.35	379.134	9.593	151.129	6.742	357.585	6.753	355.942	4.932	129.03	6.59699999999999	356.899	6.447	357.401	4.886	130.451
236	13.786	412.808	11.274	424.263	9.393	308.996	6.739	1274.731	6.802	883.759	4.987	903.346	6.872	1419.554	7.01300000000001	975.782000000001	4.998	492.217000000001
443	12.938	404.35	11.542	404.522	9.87	146.704	7.333	377.222	7.324	375.037	5.401	125.073	7.221	378.232	7.259	379.458	5.32799999999999	124.658
433	14.759	395.056	13.393	389.208	11.174	151.124	7.721	351.136	7.826	353.324	5.61	120.408	7.42699999999999	353.739	7.47199999999999	357.564	5.42399999999999	121.929
441	13.156	403.463	11.326	409.055	9.54600000000001	153.287	6.758	386.583	6.767	357.886	4.89100000000001	119.748	6.606	363.531	6.459	357.574	4.839	117.049
434	11.058	416.256	9.654	408.649	7.961	154.389	6.075	370.942	6.213	373.105	4.494	124.026	6.253	371.702	6.23	375.563	4.471	124.509
408	12.292	498.623	10.759	462.083	8.985	198.449	6.804	489.417	7.085	445.196	5.156	205.328	6.85600000000001	422.13	6.872	473.851	5.124	234.665
394	10.797	310.64	9.44	380.551	7.901	307.553	6.053	382.402	6.122	510.81	4.481	211.623	6.177	502.201	6.12500000000001	382.673000000001	4.477	243.001
435	12.224	404.494	10.462	402.529	8.378	194.677	6.197	379.636	6.496	378.803	4.78700000000001	166.285	6.509	368.403	6.552	374.619000000001	4.82600000000001	155.081
365	12.952	435.948	11.411	485.624	9.664	363.682	7.235	422.394	7.235	491.079	5.406	250.296	7.233	397.308	7.217	420.862999999999	5.327	323.413
453	14.278	339.409	12.76	343.351	10.631	155.806	7.65199999999999	317.916	7.73999999999999	309.615	5.605	125.776	7.58799999999999	312.987	7.548	309.459	5.39699999999999	131.306
436	13	447.57	11.399	441.988	9.554	166.151	6.903	422.32	7.111	418.641	5.166	131.284	7.01599999999999	410.141	7.125	414.026	5.14100000000001	116.829
432	14.745	464.198	13.407	456.315	11.216	178.757	7.782	416.074	7.91	419.196	5.631	148.98	7.47799999999999	420.794	7.547	421.48	5.46300000000001	150.247
440	12.904	381.227	11.083	378.736	9.223	222.657	6.552	340.063	6.568	333.937	4.7	219.328	6.541	353.215	6.56	348.877	4.672	164.564
446	11.906	440.211	10.495	432.74	8.601	182.133	6.59	406.394	6.624	404.959	4.747	153.972	6.66400000000001	402.243	6.595	405.699	4.71299999999999	160.666
450	12.539	299.159	10.947	297.248	8.973	151.519	6.908	305.156	7.019	309.245	5.073	204.815	6.93600000000001	310.244	6.95299999999999	288.051	5.05799999999999	145.282
458	12.682	314.581	11.511	311.514	9.537	161.196	7.19	272.593	7.177	279.506	5.387	131.473	7.114	279.516	7.02499999999999	264.007	5.236	136.03
422	13.272	549.76	11.48	541.72	9.555	281.042	7.141	496.247	7.236	494.936	5.251	123.039	7.15900000000001	361.955	7.20699999999999	394.449000000001	5.244	114.964
439	12.955	403.81	11.067	402.293	9.164	241.514	6.608	360.748	6.60100000000001	354.526	4.764	233.295	6.56	359.919	6.583	365.267	4.724	137.336
438	12.912	433.191	11.224	424.168	9.635	248.057	6.809	379.976	6.99299999999999	382.295	5.358	223.36	6.89	382.64	7.00699999999999	408.425	5.283	129.269
455	13.577	345.656	11.663	340.847	9.649	208.994	6.945	312.367	6.993	310.36	5.221	182.214	6.863	299.495	6.91000000000001	285.453	5.16200000000001	171.529
454	14.037	347.303	12.619	346.185	10.671	187.089	7.444	313.967	7.58	315.835	5.64999999999999	158.708	7.398	300.898	7.36	294.438	5.366	143.339
389	11.809	389.643	10.329	434.57	8.57400000000001	174.554	6.79	367.698	6.793	476.345	4.991	139.709	6.83299999999999	385.646	6.828	692.701	4.98399999999999	465.559999999999
448	12.36	408.551	10.89	406.674	9.069	213.535	7.016	399.254	7.089	400.747	5.168	140.722	7.01600000000001	383.128	7.02500000000001	383.697999999999	5.14699999999999	178.531999999999
457	13.034	399.936	11.839	386.624	9.48999999999999	149.156	7.505	351.486	7.557	353.308	5.293	124.377	7.431	348.252	7.532	348.899	5.179	132.115
395	12.675	413.849	10.877	507.365	9.217	385.288	6.433	537.171	6.427	588.569	4.791	246.292	6.374	502.09	6.48699999999999	471.671	4.86499999999999	229.708000000001
469	13.566	374.607	11.517	379.392	9.62	143.247	6.798	362.378	6.819	362.22	4.978	120.789	6.816	366.259	6.82599999999999	365.54	4.98999999999999	118.977
456	12.722	419.884	11.589	418.204	9.463	148.497	7.299	401.1	7.291	408.727	5.372	125.84	7.24	412.08	7.15900000000001	411.785	5.23999999999999	129.805
426	11.98	453.125	10.658	511.475	8.998	362.228	6.93	461.684	6.85700000000001	477.205	5.14599999999999	208.208000000001	6.92000000000001	480.137	6.77	441.071999999999	5.14100000000001	231.464
470	14	376.599	11.848	376.404	9.937	158.801	7.061	359.526	7.124	351.23	5.051	139.851	7.133	369.027	7.10900000000001	370.261	5.06100000000001	146.636
460	12.289	377.822	10.877	377.284	9.107	169.741	6.668	358.744	6.936	361.891	5.148	143.175	6.67999999999999	362.446	6.92399999999999	357.733	5.16300000000001	141.763000000001
463	13.215	403.339	11.297	410.377	9.508	147.686	6.983	374.783	6.957	391.898	5.169	132.406	7.123	380.683	7.19200000000001	377.755	5.069	134.349
239	14.726	472.737	12.48	727.357	10.396	557.65	7.514	924.183	7.511	1509.052	5.49999999999999	865.806	7.62400000000001	667.029	7.69	899.603999999999	5.75	1292.714
459	12.055	386.506	10.538	381.379	8.583	153.55	6.524	386.894	6.584	389.838	4.651	171.987	6.57099999999999	396.515	6.57300000000001	395.11	4.611	153.371
477	12.769	358.616	10.975	349.142	9.20200000000001	158.536	6.468	326.325	6.343	330.913	4.74	132.363	6.48	325.185	6.504	327.282	4.732	133.84
499	12.285	294.836	10.61	300.49	8.996	133.202	6.839	280.206	6.805	277.742	5.088	110.86	6.645	281.217	6.721	276.683	5.14200000000001	111.582
